cotizacion_codigo,centro_costos,rq_codigo,cliente,unidad,solicitante,fecha_rq,tipo_principal,estado,descripcion_resumen,cantidad_items,origen,observaciones,prioridad
FOR-EKA-PRO-3_2025-011_REV02,4518104357,RQ-CJM060-002_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-04-16,SUB CONTRATOS,ATENCION COMPLETA,TRABAJO DE FUSIONADO DE FIBRA OPTICA,2,excel,,
FOR-EKA-PRO-3_2025-011_REV02,4518104357,RQ-CJM060-003_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-05-05,MATERIALES,ATENCION COMPLETA,Conector recto de 2-1/2” revestido.,3,excel,,
FOR-EKA-PRO-3_2025-011_REV02,4518104357,RQ-CJM060-004_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-05-26,MATERIALES,ATENCION COMPLETA,"PERNOS GALVANIZADO DE 5/16""X3/4""",3,excel,,
FOR-EKA-PRO-3_2025-011_REV02,4518104357,RQ-CJM060-005_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-05-27,MATERIALES,ATENCION COMPLETA,MARCADORES DE PORTAFUSIBLES F1....F10 (1492-MX12),2,excel,,
FOR-EKA-PRO-3_2025-025,4517910614,RQ-CJM054-001_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-02-03,MATERIALES,ATENCION COMPLETA,"TABLERO DE INOX 316 1.5MM ESP,  200X250X110MM, IP65 - 10051589",1,excel,,
FOR-EKA-PRO-3_2025-026,4517910446,RQ-CJM053-001_2025 ,NEXA,REFINERIA CAJAMARQUILLA,,2025-02-03,MATERIALES,ATENCION COMPLETA,UNION CANALETA ESTR LAT FIB 95X200X5MM - 10050282,1,excel,,
FOR-EKA-PRO-3_2025-033,4517938965,RQ-CJM055-001_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-02-06,MATERIALES,ATENCION COMPLETA,Cable INDECO libre de halógeno 3x10mm2+T.,17,excel,,
FOR-EKA-PRO-3_2025-041_REV01,4517968227,RQ-CJM057-001_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-02-17,MATERIALES,ATENCION COMPLETA,Circulina Estroboscopica Imantada 12-48v Rojo,17,excel,,
FOR-EKA-PRO-3_2025-041_REV01,4517968227,RQ-CJM057-002_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-03-10,MATERIALES,ATENCION COMPLETA,Fuente 12 V 2 A DC Corriente Continua,1,excel,,
FOR-EKA-PRO-3_2025-041_REV01,4517968227,RQ-CJM057-003_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-03-11,MATERIALES,ATENCION COMPLETA,ROTULOS,2,excel,,
FOR-EKA-PRO-3_2025-044,4517974514,RQ-CJM058-001_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-02-19,EQUIPOS,PENDIENTE,TRAJE TYVEK 500  TALLA / L,5,excel,,
FOR-EKA-PRO-3_2025-044,4517974514,RQ-CJM058-002_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-03-10,EQUIPOS,ATENCION COMPLETA,TRAJE TYVEK 600 PLUS TY198TWHLG0025PI SIN BOTAS T/L,1,excel,,
FOR-EKA-PRO-3_2025-044,4517974514,RQ-CJM058-003_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-03-13,EPPs,ATENCION COMPLETA,CASCO D/SEGURIDAD BLANCO 3M,10,excel,,
FOR-EKA-PRO-3_2025-044,4517974514,RQ-CJM058-004_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-03-17,EQUIPOS,ATENCION COMPLETA,TRAJE AMARILLO ALPHATEC 2300 TALL / L,2,excel,,
